Título,Sku,Precio original,Precio Descuento,Precio Envío,Stock
"Mouse Gamer Ocelot Gaming Óptico White Pearl, Alámbrico, USB, 7200DPI, Blanco",OCM WHITE PEARL,$299.00,$158.00,$99.00,i
"Cinta Zebra Ribbon Resin 5095, 4.33'' x 110mm, 6 Piezas",05095BK11045,"$6,999.00","$1,169.00",$99.00,i
"Ocelot Gaming Audífonos Gamer OGMH02, Alámbrico, 2.2 Metros, 3.5mm/USB, Negro",OGMH02,$387.00,$215.00,$99.00,i
"Router ASUS Gigabit Ethernet de Banda Dual RT-AC66U B1 AC1750 para Gaming con AiMesh, Inalámbrico, 1300 Mbit/s, 4x RJ-45, 2.4/5GHz, 3 Antenas",90IG0300-BA1000,"$1,915.00","$1,099.00",$99.00,i
"Panduit Módulo Ciego Gris, Paquete de 10 Piezas",CMBIG-X,$163.00,$21.00,$99.00,i
"Kensington Descansa Pies K52789WW, Antideslizante, Negro",52789WW,"$1,089.00",$434.00,$99.00,i
"Memoria RAM HPE DDR4, 2933MHz, 16GB, CL21, Dual Rank x8",P00922-B21,"$20,959.00","$3,999.00",$99.00,i
"SSD Western Digital WD Blue SA510, 250GB, SATA III, 2.5'', 7mm",WDS250G3B0A,$755.00,$419.00,$99.00,i
"Teclado Gamer Ocelot Gaming OGMK02 RGB, Teclado Mecánico, Switch Azul, Alámbrico, Negro (Español)",OGMK02,$466.00,$308.00,$99.00,i
"Memoria RAM XPG Spectrix D60G RGB DDR4, 3600MHz, 8GB, Non-ECC, CL19, XMP",AX4U36008G18I-ST60,$668.00,$439.00,$99.00,i
"SSD Western Digital WD Black SN850, 500GB, PCI Express 4.0, M.2, NVMe",WDS500G1X0E,"$1,772.00",$949.00,$99.00,i
"Mouse Gamer Cougar Óptico MINOS XT, Alámbrico, USB, 4000DPI, Negro",3MMXTWOB.0001,$561.00,$292.00,$99.00,i
"Jabra Cable GN1216 Avaya, QD Macho - RJ-9 Macho, 80cm, Negro",88001-04,$729.00,$119.00,$99.00,i
